2016-11-21,742.68668396,730.0,733.97639343,738.60300615,128153.509621,173.77797354,737.45542666
2016-11-22,751.0,731.58575284,740.0,748.17379309,357743.615969,481.77035886,742.5604531
2016-11-23,751.0,731.00000001,749.99999942,739.31710591,336861.397346,454.698672,740.84535119
2016-11-24,745.00766316,728.28980075,742.35948016,737.70763551,332450.55241,451.65488261,736.0720878
2016-11-25,740.2053982,731.000002,737.70763551,740.2053982,205491.774692,279.01155004,736.4991688
2016-11-26,743.0,722.11138261,740.2053982,733.5,220043.159587,300.32947959,732.6725298
2016-11-27,738.020211,727.00000001,733.0331055,729.72890417,150402.299218,205.1016707,733.30606574
2016-11-28,735.83998546,727.5,727.50000001,731.31003027,115833.084352,158.17380291,732.3152268
2016-11-29,735.35,728.1044379,732.03938313,731.2,183662.228043,250.84377181,732.17774839
2016-11-30,745.17857021,727.89328149,730.41813611,738.5,247364.198014,335.31664243,737.70331296
2016-12-01,755.0,738.91291171,741.65669308,755.0,298924.979258,398.83877519,749.48825904
2016-12-02,782.43814906,753.35383601,755.0,775.72553148,681502.653137,886.31828537,768.91412981
2016-12-03,776.77583641,756.77694722,775.72553148,764.25973783,215171.174707,280.95427717,765.85833422
2016-12-04,772.5,761.97280902,767.51537252,771.79799933,147413.035809,191.94113753,768.01168163
2016-12-05,772.963,747.0,771.79799904,753.3400001,552583.819494,730.85653245,756.07700685
2016-12-06,763.51700987,748.87310374,753.49999593,758.21022346,659929.997652,871.67827635,757.07977995
2016-12-07,770.5,753.0,757.81649032,766.08939045,307676.745397,403.45462994,762.60556346
2016-12-08,773.0,760.0,766.06890174,768.52004359,179679.54892,233.94540474,768.04051406
2016-12-09,774.0,765.59723565,767.50000008,769.22,131317.730872,170.39039999,770.68737956
2016-12-10,776.0,769.1741091,771.95860026,774.97999209,116041.506077,150.14004625,772.88843966
2016-12-11,774.97999993,753.25670245,773.5,768.0,321391.548119,420.63638434,764.06026697
2016-12-12,780.0,767.47912171,768.0,779.09999996,272349.945016,351.40013836,775.04222476
2016-12-13,786.70933342,766.52,778.88888888,776.60000001,288850.614842,370.81657267,778.95821311
2016-12-14,781.99800122,773.19018763,776.60000001,777.0,159777.670444,205.38581532,777.93916875
2016-12-15,781.99800089,776.00001001,778.33748831,777.00427907,106829.109013,137.18435196,778.72663672
2016-12-16,784.7850419,774.0,777.00427907,782.32000001,131496.901745,168.71410359,779.4066942
2016-12-17,794.12969878,781.36038303,782.32000001,794.12969577,206571.505236,261.77228099,789.12673433
2016-12-18,795.0,785.50168337,794.12969576,789.30083165,126332.608147,160.1156845,789.0083257
2016-12-19,794.999999,786.0,789.5,793.17870645,180525.459081,228.15702949,791.23338643
2016-12-20,804.03440219,789.49985085,792.78692173,801.99499865,281043.619537,353.14959194,795.8203151
2016-12-21,829.99626099,796.91935265,800.07815395,828.99,531600.060399,650.08937127,817.73381306
2016-12-22,869.0,826.224,828.99,860.79999999,784872.186625,921.47210442,851.75903085
2016-12-23,920.0,841.89484999,860.49999999,918.90561655,1787126.85424,2002.5328261,892.43323801
2016-12-24,918.90561637,880.0,917.00000009,893.60966646,828606.18382,923.63274762,897.11650648
2016-12-25,899.48946432,850.88369341,893.54640164,896.35444823,1391652.29472,1590.47987163,874.98893858
2016-12-26,916.48999999,886.3237195,895.99,902.0,807680.437746,893.72896465,903.71966188
2016-12-27,939.98603,899.28789852,904.35,933.9368203,1161298.03872,1251.51091696,927.91682675
2016-12-28,984.49999999,932.52200217,933.99289512,980.5,1697988.81757,1765.90961499,961.53778378
2016-12-29,983.53352975,950.48662063,980.24135135,974.75099999,1397035.08811,1441.84442116,968.92221352
2016-12-30,977.0,925.4,971.10000019,958.94500534,1526415.68046,1608.27541316,949.10092386
2016-12-31,967.51,946.0,958.94500534,966.17368384,408137.766372,427.24617821,955.27540604
2017-01-01,1008.54999326,957.02,965.00000055,999.36463982,1196868.26159,1207.33863593,991.32772361
2017-01-02,1034.32896003,994.00000044,999.92218873,1019.00000076,1847781.38634,1818.58703006,1016.0533182
2017-01-03,1042.02336482,1010.0,1019.00000076,1037.1,1367241.14506,1337.77121326,1022.02912688
2017-01-04,1148.0,1035.9006986,1037.1,1136.0,4139509.15916,3778.22776354,1095.6219207
2017-01-05,1159.103,882.01,1134.10000001,998.8,9624745.13687,9567.93438544,1005.93761925
2017-01-06,1024.88,870.0,998.8,896.0,5718737.74279,6225.01903437,918.66992072
2017-01-07,910.8275191,818.45971802,896.0,907.19047915,4446078.05007,5134.10070398,865.98964578
2017-01-08,939.65955395,891.1,907.0,916.0,2712345.57807,2954.8408452,917.93288375
2017-01-09,916.41833046,880.0,916.41832969,902.0,1561326.51819,1743.42476903,895.55141462
2017-01-10,915.83230945,898.0,903.00000001,907.1,783912.577445,862.98518534,908.37315722
2017-01-11,927.82810365,751.0,907.92945179,781.81160101,6522541.33157,7934.39754847,822.05880052
2017-01-12,832.87989967,752.0102,781.85160104,803.6952791,3077949.35045,3910.82414915,787.03343158
2017-01-13,830.59290797,776.02899497,805.00000361,826.0,2009714.11076,2488.40324743,807.63200772
2017-01-14,836.04000001,801.97500223,827.0,817.47703098,1110991.21217,1348.38778314,823.94043172
